message_id,account_id,timestamp,author_role,channel,topic,text
MSG0000025,ACC00003,2025-03-19T08:00:00,customer,email,user provisioning,We're still evaluating the change internally.
MSG0000026,ACC00004,2024-06-21T08:00:00,customer,support_chat,workflow automation,We've had to follow up several times and this is starting to become frustrating.
MSG0000027,ACC00004,2025-09-10T11:00:00,agent,meeting_notes,invoice reconciliation,Could you help us understand why this is happening?
MSG0000028,ACC00004,2024-04-08T18:00:00,customer,email,billing configuration,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000029,ACC00004,2024-09-19T09:00:00,agent,email,report exports,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000030,ACC00004,2025-07-26T15:00:00,customer,email,invoice reconciliation,This has been affecting the team for a while and we need a clearer resolution.
MSG0000031,ACC00004,2024-06-16T09:00:00,customer,meeting_notes,report exports,This has been affecting the team for a while and we need a clearer resolution.
MSG0000032,ACC00004,2024-02-12T18:00:00,agent,email,SSO,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000033,ACC00004,2025-04-08T13:00:00,agent,support_chat,billing configuration,We've had to follow up several times and this is starting to become frustrating.
MSG0000034,ACC00004,2025-03-24T11:00:00,agent,support_chat,usage reporting,The latest release has made the workflow much easier for our team.
MSG0000035,ACC00004,2024-05-09T08:00:00,agent,meeting_notes,dashboard performance,We're still evaluating the change internally.
MSG0000036,ACC00004,2025-06-23T15:00:00,customer,meeting_notes,data synchronization,The reporting changes are useful and the team is happy with them.
MSG0000037,ACC00004,2024-11-24T15:00:00,agent,meeting_notes,renewal terms,We're reviewing the latest changes and have a few questions.
MSG0000038,ACC00004,2025-06-06T09:00:00,customer,support_chat,renewal terms,We've had to follow up several times and this is starting to become frustrating.
MSG0000039,ACC00005,2024-11-14T14:00:00,customer,meeting_notes,usage reporting,We're reviewing the latest changes and have a few questions.
MSG0000040,ACC00005,2024-09-05T11:00:00,customer,email,billing configuration,We've been getting good value from the platform and adoption is steady.
MSG0000041,ACC00005,2024-08-20T11:00:00,agent,support_chat,API reliability,The reporting changes are useful and the team is happy with them.
MSG0000042,ACC00005,2024-05-17T17:00:00,agent,support_chat,SSO,We're still evaluating the change internally.
MSG0000043,ACC00005,2025-01-16T15:00:00,customer,email,report exports,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000044,ACC00006,2024-03-14T14:00:00,agent,meeting_notes,permissions,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000045,ACC00006,2024-11-27T11:00:00,agent,meeting_notes,API reliability,We're still evaluating the change internally.
MSG0000046,ACC00006,2025-03-19T10:00:00,agent,meeting_notes,workflow automation,This has been affecting the team for a while and we need a clearer resolution.
MSG0000047,ACC00006,2024-04-15T12:00:00,customer,email,SSO,We're still evaluating the change internally.
MSG0000048,ACC00006,2025-01-06T18:00:00,agent,support_chat,workflow automation,"If we can't get this resolved soon, we'll need to look at other options."
MSG0000049,ACC00007,2024-07-20T18:00:00,agent,meeting_notes,dashboard performance,This has been affecting the team for a while and we need a clearer resolution.
MSG0000050,ACC00007,2024-04-02T09:00:00,customer,support_chat,billing configuration,We've been getting good value from the platform and adoption is steady.
MSG0000051,ACC00007,2024-05-21T18:00:00,agent,meeting_notes,user provisioning,The latest release has made the workflow much easier for our team.
MSG0000052,ACC00007,2024-09-05T13:00:00,customer,meeting_notes,usage reporting,Our leadership team is questioning whether we should continue with the platform.
MSG0000053,ACC00008,2024-03-13T13:00:00,customer,support_chat,billing configuration,We've had to follow up several times and this is starting to become frustrating.
MSG0000054,ACC00008,2024-09-23T17:00:00,customer,email,billing configuration,We've had to follow up several times and this is starting to become frustrating.
MSG0000055,ACC00008,2025-10-03T17:00:00,agent,email,mobile access,Could you help us understand why this is happening?
MSG0000056,ACC00008,2025-10-12T08:00:00,customer,support_chat,integration errors,We've been getting good value from the platform and adoption is steady.
MSG0000057,ACC00008,2024-02-12T13:00:00,agent,meeting_notes,API reliability,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000058,ACC00008,2025-06-23T11:00:00,agent,email,mobile access,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000059,ACC00008,2024-04-21T15:00:00,agent,meeting_notes,invoice reconciliation,This has been affecting the team for a while and we need a clearer resolution.
MSG0000060,ACC00008,2025-12-25T11:00:00,customer,support_chat,mobile access,Could you help us understand why this is happening?
MSG0000061,ACC00008,2025-10-14T12:00:00,customer,support_chat,workflow automation,The latest release has made the workflow much easier for our team.
MSG0000062,ACC00008,2025-04-17T16:00:00,customer,meeting_notes,permissions,We've been getting good value from the platform and adoption is steady.
MSG0000063,ACC00008,2025-06-10T15:00:00,customer,meeting_notes,usage reporting,This has been affecting the team for a while and we need a clearer resolution.
MSG0000064,ACC00008,2024-03-07T15:00:00,customer,email,dashboard performance,We've been getting good value from the platform and adoption is steady.
MSG0000065,ACC00008,2024-03-04T10:00:00,customer,email,workflow automation,We're reviewing the latest changes and have a few questions.
MSG0000066,ACC00008,2024-05-28T11:00:00,agent,email,dashboard performance,We've had to follow up several times and this is starting to become frustrating.
MSG0000067,ACC00008,2025-02-22T16:00:00,customer,support_chat,workflow automation,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000068,ACC00008,2025-12-21T08:00:00,customer,email,renewal terms,We're reviewing the latest changes and have a few questions.
MSG0000069,ACC00008,2024-08-27T16:00:00,customer,support_chat,permissions,Could you help us understand why this is happening?
MSG0000070,ACC00008,2025-09-26T13:00:00,customer,meeting_notes,mobile access,We're still evaluating the change internally.
MSG0000071,ACC00009,2024-08-14T09:00:00,customer,email,mobile access,Could you help us understand why this is happening?
MSG0000072,ACC00009,2024-05-16T13:00:00,customer,email,API reliability,We're reviewing the latest changes and have a few questions.
MSG0000073,ACC00009,2024-11-16T09:00:00,customer,meeting_notes,usage reporting,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000074,ACC00009,2024-10-22T15:00:00,customer,support_chat,renewal terms,The reporting changes are useful and the team is happy with them.
MSG0000075,ACC00009,2025-02-07T09:00:00,agent,support_chat,SSO,We're still evaluating the change internally.
MSG0000076,ACC00009,2024-01-22T15:00:00,customer,meeting_notes,permissions,We've been getting good value from the platform and adoption is steady.
MSG0000077,ACC00009,2024-05-13T14:00:00,agent,meeting_notes,SSO,This has been affecting the team for a while and we need a clearer resolution.
MSG0000078,ACC00009,2024-03-12T11:00:00,customer,support_chat,API reliability,Could you help us understand why this is happening?
MSG0000079,ACC00009,2024-08-27T14:00:00,customer,meeting_notes,billing configuration,We're still evaluating the change internally.
MSG0000080,ACC00009,2025-07-19T12:00:00,customer,meeting_notes,integration errors,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000081,ACC00009,2025-01-16T16:00:00,customer,support_chat,API reliability,We're reviewing the latest changes and have a few questions.
MSG0000082,ACC00009,2024-04-09T15:00:00,customer,email,report exports,We're still evaluating the change internally.
MSG0000083,ACC00009,2024-04-24T08:00:00,customer,email,SSO,We've been getting good value from the platform and adoption is steady.
MSG0000084,ACC00009,2025-01-20T18:00:00,customer,meeting_notes,integration errors,Could you help us understand why this is happening?
MSG0000085,ACC00009,2024-04-25T09:00:00,agent,support_chat,invoice reconciliation,We've had to follow up several times and this is starting to become frustrating.
MSG0000086,ACC00010,2024-03-27T15:00:00,agent,support_chat,usage reporting,We're still evaluating the change internally.
MSG0000087,ACC00010,2025-02-27T09:00:00,agent,meeting_notes,API reliability,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000088,ACC00010,2024-12-14T17:00:00,agent,support_chat,usage reporting,We've had to follow up several times and this is starting to become frustrating.
MSG0000089,ACC00010,2024-01-25T08:00:00,customer,meeting_notes,SSO,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000090,ACC00010,2024-01-13T11:00:00,customer,email,API reliability,We're reviewing the latest changes and have a few questions.
MSG0000091,ACC00010,2024-06-08T16:00:00,agent,meeting_notes,user provisioning,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000092,ACC00010,2024-11-15T15:00:00,customer,meeting_notes,integration errors,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000093,ACC00010,2024-11-26T12:00:00,customer,support_chat,SSO,The reporting changes are useful and the team is happy with them.
MSG0000094,ACC00010,2025-01-13T17:00:00,customer,email,mobile access,The reporting changes are useful and the team is happy with them.
MSG0000095,ACC00010,2024-08-03T15:00:00,customer,email,report exports,The reporting changes are useful and the team is happy with them.
MSG0000096,ACC00010,2025-01-20T14:00:00,customer,email,data synchronization,This has been affecting the team for a while and we need a clearer resolution.
MSG0000097,ACC00011,2024-05-24T15:00:00,customer,support_chat,integration errors,We're still evaluating the change internally.
MSG0000098,ACC00011,2024-08-07T12:00:00,agent,support_chat,report exports,This has been affecting the team for a while and we need a clearer resolution.
MSG0000099,ACC00011,2024-11-01T09:00:00,agent,support_chat,usage reporting,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000100,ACC00011,2025-07-20T16:00:00,customer,support_chat,workflow automation,We're reviewing alternatives because this is becoming difficult to justify internally.
MSG0000101,ACC00011,2025-05-19T17:00:00,customer,email,mobile access,We're still evaluating the change internally.
MSG0000102,ACC00011,2024-01-14T17:00:00,customer,support_chat,permissions,Could you help us understand why this is happening?
MSG0000103,ACC00011,2025-02-16T09:00:00,customer,meeting_notes,data synchronization,We're still evaluating the change internally.
MSG0000104,ACC00011,2025-03-23T14:00:00,customer,meeting_notes,invoice reconciliation,The latest release has made the workflow much easier for our team.
MSG0000105,ACC00011,2025-04-12T15:00:00,customer,meeting_notes,permissions,The reporting changes are useful and the team is happy with them.
MSG0000106,ACC00011,2024-11-20T18:00:00,customer,support_chat,usage reporting,We're still evaluating the change internally.
MSG0000107,ACC00012,2025-03-03T16:00:00,customer,meeting_notes,report exports,This has been affecting the team for a while and we need a clearer resolution.
MSG0000108,ACC00012,2025-04-28T08:00:00,customer,support_chat,report exports,Could you help us understand why this is happening?
MSG0000109,ACC00012,2025-05-11T14:00:00,customer,email,mobile access,We're reviewing the latest changes and have a few questions.
MSG0000110,ACC00012,2024-06-10T10:00:00,customer,email,SSO,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000111,ACC00012,2024-10-14T18:00:00,customer,support_chat,SSO,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000112,ACC00012,2024-01-23T08:00:00,customer,support_chat,SSO,We're reviewing the latest changes and have a few questions.
MSG0000113,ACC00012,2025-02-11T12:00:00,agent,email,report exports,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000114,ACC00012,2024-07-08T17:00:00,customer,meeting_notes,billing configuration,This has been affecting the team for a while and we need a clearer resolution.
MSG0000115,ACC00012,2025-05-13T09:00:00,customer,support_chat,mobile access,We're reviewing the latest changes and have a few questions.
MSG0000116,ACC00012,2025-02-03T15:00:00,customer,email,report exports,The latest release has made the workflow much easier for our team.
MSG0000117,ACC00012,2024-09-18T17:00:00,customer,meeting_notes,permissions,We've been getting good value from the platform and adoption is steady.
MSG0000118,ACC00012,2024-05-10T17:00:00,customer,meeting_notes,mobile access,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000119,ACC00012,2024-07-26T10:00:00,customer,email,billing configuration,Could you help us understand why this is happening?
MSG0000120,ACC00012,2024-08-18T14:00:00,customer,email,renewal terms,We've had to follow up several times and this is starting to become frustrating.
MSG0000121,ACC00012,2025-03-27T17:00:00,agent,email,report exports,We're reviewing the latest changes and have a few questions.
MSG0000122,ACC00012,2024-02-16T12:00:00,customer,meeting_notes,user provisioning,This has been affecting the team for a while and we need a clearer resolution.
MSG0000123,ACC00012,2024-12-27T18:00:00,customer,meeting_notes,dashboard performance,The reporting changes are useful and the team is happy with them.
MSG0000124,ACC00013,2024-08-01T18:00:00,agent,support_chat,integration errors,The reporting changes are useful and the team is happy with them.
MSG0000125,ACC00013,2024-07-08T15:00:00,agent,support_chat,invoice reconciliation,Could you help us understand why this is happening?
MSG0000126,ACC00013,2025-01-06T08:00:00,customer,support_chat,report exports,Could you help us understand why this is happening?
MSG0000127,ACC00013,2025-06-04T10:00:00,customer,meeting_notes,integration errors,We're reviewing the latest changes and have a few questions.
MSG0000128,ACC00013,2024-12-02T08:00:00,customer,email,invoice reconciliation,The reporting changes are useful and the team is happy with them.
MSG0000129,ACC00013,2024-09-24T10:00:00,agent,email,SSO,Could you help us understand why this is happening?
MSG0000130,ACC00013,2024-07-01T10:00:00,agent,email,renewal terms,We're reviewing the latest changes and have a few questions.
MSG0000131,ACC00013,2025-10-05T14:00:00,customer,email,dashboard performance,We've been getting good value from the platform and adoption is steady.
MSG0000132,ACC00013,2025-03-08T13:00:00,agent,meeting_notes,billing configuration,Could you help us understand why this is happening?
MSG0000133,ACC00013,2025-08-14T09:00:00,customer,email,billing configuration,We've been getting good value from the platform and adoption is steady.
MSG0000134,ACC00013,2024-07-07T16:00:00,agent,support_chat,integration errors,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000135,ACC00013,2025-02-21T11:00:00,agent,meeting_notes,invoice reconciliation,The latest release has made the workflow much easier for our team.
MSG0000136,ACC00013,2025-06-10T10:00:00,customer,meeting_notes,billing configuration,Could you help us understand why this is happening?
MSG0000137,ACC00013,2024-09-28T10:00:00,agent,support_chat,invoice reconciliation,We've had to follow up several times and this is starting to become frustrating.
MSG0000138,ACC00013,2025-12-03T15:00:00,customer,meeting_notes,user provisioning,This has been affecting the team for a while and we need a clearer resolution.
MSG0000139,ACC00014,2024-02-03T11:00:00,customer,meeting_notes,workflow automation,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000140,ACC00014,2024-04-23T16:00:00,customer,email,integration errors,This has been affecting the team for a while and we need a clearer resolution.
MSG0000141,ACC00014,2024-11-21T14:00:00,customer,meeting_notes,billing configuration,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000142,ACC00014,2024-01-20T17:00:00,customer,meeting_notes,usage reporting,We're still evaluating the change internally.
MSG0000143,ACC00014,2024-08-17T17:00:00,customer,meeting_notes,billing configuration,The latest release has made the workflow much easier for our team.
MSG0000144,ACC00014,2024-04-10T11:00:00,agent,meeting_notes,API reliability,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000145,ACC00014,2024-02-05T13:00:00,customer,email,user provisioning,We're still evaluating the change internally.
MSG0000146,ACC00014,2024-07-21T08:00:00,agent,meeting_notes,workflow automation,The reporting changes are useful and the team is happy with them.
MSG0000147,ACC00014,2024-09-11T18:00:00,customer,support_chat,permissions,The latest release has made the workflow much easier for our team.
MSG0000148,ACC00014,2024-10-25T08:00:00,agent,support_chat,data synchronization,The reporting changes are useful and the team is happy with them.
MSG0000149,ACC00015,2024-05-16T09:00:00,agent,meeting_notes,renewal terms,We're reviewing the latest changes and have a few questions.
MSG0000150,ACC00015,2025-03-06T15:00:00,customer,meeting_notes,invoice reconciliation,We've been getting good value from the platform and adoption is steady.
MSG0000151,ACC00015,2024-08-07T10:00:00,customer,meeting_notes,report exports,We've been getting good value from the platform and adoption is steady.
MSG0000152,ACC00015,2024-06-11T14:00:00,customer,support_chat,permissions,We're reviewing the latest changes and have a few questions.
MSG0000153,ACC00015,2025-04-22T09:00:00,agent,meeting_notes,usage reporting,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000154,ACC00015,2025-04-03T13:00:00,agent,meeting_notes,API reliability,The reporting changes are useful and the team is happy with them.
MSG0000155,ACC00015,2025-09-11T14:00:00,agent,meeting_notes,renewal terms,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000156,ACC00015,2025-02-26T11:00:00,customer,support_chat,API reliability,The reporting changes are useful and the team is happy with them.
MSG0000157,ACC00016,2025-09-03T13:00:00,agent,email,renewal terms,Could you help us understand why this is happening?
MSG0000158,ACC00016,2024-08-09T08:00:00,customer,email,user provisioning,We've been getting good value from the platform and adoption is steady.
MSG0000159,ACC00016,2024-04-26T09:00:00,customer,support_chat,integration errors,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000160,ACC00016,2025-04-04T16:00:00,agent,support_chat,mobile access,Could you help us understand why this is happening?
MSG0000161,ACC00016,2024-09-20T09:00:00,customer,support_chat,SSO,The latest release has made the workflow much easier for our team.
MSG0000162,ACC00016,2024-12-26T18:00:00,customer,support_chat,workflow automation,We've had to follow up several times and this is starting to become frustrating.
MSG0000163,ACC00016,2025-07-05T12:00:00,agent,meeting_notes,SSO,The latest release has made the workflow much easier for our team.
MSG0000164,ACC00016,2025-10-05T10:00:00,customer,support_chat,report exports,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000165,ACC00016,2025-11-25T11:00:00,customer,support_chat,SSO,This has been affecting the team for a while and we need a clearer resolution.
MSG0000166,ACC00016,2025-03-12T15:00:00,customer,support_chat,mobile access,We've had to follow up several times and this is starting to become frustrating.
MSG0000167,ACC00016,2025-11-27T11:00:00,customer,email,dashboard performance,We're reviewing the latest changes and have a few questions.
MSG0000168,ACC00016,2025-02-25T13:00:00,customer,email,usage reporting,We've been getting good value from the platform and adoption is steady.
MSG0000169,ACC00017,2025-06-25T14:00:00,customer,email,SSO,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000170,ACC00017,2024-01-06T17:00:00,customer,email,billing configuration,The reporting changes are useful and the team is happy with them.
MSG0000171,ACC00017,2025-05-15T16:00:00,customer,email,dashboard performance,We've had to follow up several times and this is starting to become frustrating.
MSG0000172,ACC00017,2024-04-06T11:00:00,customer,support_chat,report exports,The latest release has made the workflow much easier for our team.
MSG0000173,ACC00017,2024-05-09T08:00:00,agent,email,mobile access,The reporting changes are useful and the team is happy with them.
MSG0000174,ACC00017,2024-04-01T18:00:00,customer,support_chat,data synchronization,Could you help us understand why this is happening?
MSG0000175,ACC00017,2024-03-23T16:00:00,agent,support_chat,integration errors,We're reviewing the latest changes and have a few questions.
MSG0000176,ACC00017,2024-10-11T08:00:00,agent,email,usage reporting,The latest release has made the workflow much easier for our team.
MSG0000177,ACC00017,2024-09-06T12:00:00,customer,meeting_notes,API reliability,The latest release has made the workflow much easier for our team.
MSG0000178,ACC00018,2024-03-12T17:00:00,customer,support_chat,SSO,Could you help us understand why this is happening?
MSG0000179,ACC00018,2024-07-20T08:00:00,customer,email,permissions,We're reviewing the latest changes and have a few questions.
MSG0000180,ACC00018,2024-02-08T12:00:00,agent,meeting_notes,report exports,We've been getting good value from the platform and adoption is steady.
MSG0000181,ACC00018,2024-02-02T13:00:00,agent,email,data synchronization,We've been getting good value from the platform and adoption is steady.
MSG0000182,ACC00018,2024-10-13T16:00:00,customer,support_chat,usage reporting,The reporting changes are useful and the team is happy with them.
MSG0000183,ACC00018,2024-04-11T14:00:00,customer,email,report exports,We've had to follow up several times and this is starting to become frustrating.
MSG0000184,ACC00019,2024-01-01T10:00:00,agent,meeting_notes,renewal terms,Could you help us understand why this is happening?
MSG0000185,ACC00019,2024-11-06T17:00:00,customer,support_chat,invoice reconciliation,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000186,ACC00019,2025-08-21T14:00:00,agent,meeting_notes,user provisioning,The latest release has made the workflow much easier for our team.
MSG0000187,ACC00019,2024-05-21T14:00:00,customer,support_chat,mobile access,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000188,ACC00019,2024-06-14T11:00:00,agent,email,mobile access,We've been getting good value from the platform and adoption is steady.
MSG0000189,ACC00019,2024-04-21T17:00:00,agent,meeting_notes,dashboard performance,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000190,ACC00019,2025-06-06T13:00:00,customer,email,user provisioning,The reporting changes are useful and the team is happy with them.
MSG0000191,ACC00020,2024-01-22T11:00:00,agent,email,workflow automation,We're still evaluating the change internally.
MSG0000192,ACC00020,2024-04-11T11:00:00,agent,meeting_notes,renewal terms,This has been affecting the team for a while and we need a clearer resolution.
MSG0000193,ACC00020,2024-11-25T12:00:00,agent,meeting_notes,API reliability,We're still evaluating the change internally.
MSG0000194,ACC00020,2024-05-08T13:00:00,agent,meeting_notes,mobile access,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000195,ACC00020,2024-07-25T14:00:00,customer,support_chat,SSO,The reporting changes are useful and the team is happy with them.
MSG0000196,ACC00020,2024-08-01T15:00:00,customer,support_chat,permissions,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000197,ACC00020,2024-09-04T16:00:00,customer,email,SSO,We've been getting good value from the platform and adoption is steady.
MSG0000198,ACC00020,2024-04-02T18:00:00,agent,support_chat,invoice reconciliation,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000199,ACC00021,2024-08-22T18:00:00,customer,support_chat,usage reporting,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000200,ACC00021,2024-01-26T15:00:00,agent,email,API reliability,This has been affecting the team for a while and we need a clearer resolution.
MSG0000201,ACC00021,2024-01-05T17:00:00,customer,email,invoice reconciliation,We've been getting good value from the platform and adoption is steady.
MSG0000202,ACC00021,2024-04-16T08:00:00,customer,email,API reliability,We've had to follow up several times and this is starting to become frustrating.
MSG0000203,ACC00021,2024-10-13T15:00:00,agent,meeting_notes,dashboard performance,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000204,ACC00021,2024-01-06T10:00:00,customer,meeting_notes,usage reporting,The reporting changes are useful and the team is happy with them.
MSG0000205,ACC00021,2024-09-13T14:00:00,customer,support_chat,SSO,We've been getting good value from the platform and adoption is steady.
MSG0000206,ACC00021,2024-01-10T15:00:00,customer,email,integration errors,We've been getting good value from the platform and adoption is steady.
MSG0000207,ACC00022,2025-02-26T08:00:00,customer,meeting_notes,permissions,This has been affecting the team for a while and we need a clearer resolution.
MSG0000208,ACC00022,2024-10-28T16:00:00,customer,meeting_notes,integration errors,We're still evaluating the change internally.
MSG0000209,ACC00022,2025-05-09T10:00:00,customer,email,SSO,Our leadership team is questioning whether we should continue with the platform.
MSG0000210,ACC00022,2024-01-09T18:00:00,customer,email,billing configuration,We're reviewing the latest changes and have a few questions.
MSG0000211,ACC00022,2024-09-22T12:00:00,customer,support_chat,integration errors,This has been affecting the team for a while and we need a clearer resolution.
MSG0000212,ACC00022,2024-06-15T15:00:00,customer,support_chat,report exports,The latest release has made the workflow much easier for our team.
MSG0000213,ACC00022,2024-12-16T18:00:00,customer,email,integration errors,We've had to follow up several times and this is starting to become frustrating.
MSG0000214,ACC00022,2024-03-09T17:00:00,customer,email,workflow automation,We've had to follow up several times and this is starting to become frustrating.
MSG0000215,ACC00022,2024-06-09T12:00:00,agent,email,invoice reconciliation,We're reviewing the latest changes and have a few questions.
MSG0000216,ACC00023,2024-01-14T09:00:00,customer,email,usage reporting,We're still evaluating the change internally.
MSG0000217,ACC00023,2024-06-02T14:00:00,customer,meeting_notes,integration errors,We're reviewing the latest changes and have a few questions.
MSG0000218,ACC00023,2024-08-21T13:00:00,customer,email,dashboard performance,We're still evaluating the change internally.
MSG0000219,ACC00023,2024-08-10T18:00:00,customer,meeting_notes,user provisioning,We're still evaluating the change internally.
MSG0000220,ACC00023,2025-04-10T09:00:00,customer,support_chat,user provisioning,The reporting changes are useful and the team is happy with them.
MSG0000221,ACC00023,2025-03-11T11:00:00,customer,support_chat,data synchronization,"The workflow is mostly fine, although there are a couple of things we'd like improved."
MSG0000222,ACC00023,2025-04-27T15:00:00,customer,email,report exports,This has been affecting the team for a while and we need a clearer resolution.
MSG0000223,ACC00023,2024-10-09T16:00:00,agent,support_chat,report exports,The reporting changes are useful and the team is happy with them.
MSG0000224,ACC00023,2025-06-25T13:00:00,agent,support_chat,user provisioning,We're reviewing the latest changes and have a few questions.
MSG0000225,ACC00023,2025-03-14T14:00:00,agent,support_chat,workflow automation,We're reviewing the latest changes and have a few questions.
MSG0000226,ACC00024,2025-02-21T13:00:00,customer,support_chat,renewal terms,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000227,ACC00024,2025-03-25T18:00:00,agent,email,integration errors,Could you help us understand why this is happening?
MSG0000228,ACC00024,2025-06-07T14:00:00,customer,meeting_notes,report exports,Could you help us understand why this is happening?
MSG0000229,ACC00024,2024-07-15T13:00:00,customer,meeting_notes,dashboard performance,We've had to follow up several times and this is starting to become frustrating.
MSG0000230,ACC00024,2024-11-04T13:00:00,customer,email,integration errors,We're reviewing the latest changes and have a few questions.
MSG0000231,ACC00024,2024-09-02T18:00:00,agent,support_chat,report exports,We're reviewing the latest changes and have a few questions.
MSG0000232,ACC00024,2025-11-23T12:00:00,customer,meeting_notes,renewal terms,We're reviewing the latest changes and have a few questions.
MSG0000233,ACC00024,2024-01-28T15:00:00,customer,support_chat,SSO,This has been affecting the team for a while and we need a clearer resolution.
MSG0000234,ACC00024,2025-04-24T18:00:00,agent,email,data synchronization,We've had to follow up several times and this is starting to become frustrating.
MSG0000235,ACC00024,2024-01-20T10:00:00,agent,email,API reliability,Thanks for getting this sorted so quickly. Everything is working now.
MSG0000236,ACC00024,2025-02-27T09:00:00,customer,meeting_notes,report exports,The latest release has made the workflow much easier for our team.
